,date,time,round,day,home_team,away_team,goals_home,goals_away,xg_home,xg_away,poss_home,formation_home,referee,sh_home,sot_home,dist_home,fk_home,pk_home,pkatt_home,season,target,poss_away,formation_away,sh_away,sot_away,dist_away,fk_away,pk_away,pkatt_away,time_group,xg_home_rolling,xg_away_rolling,poss_home_rolling,sh_home_rolling,sot_home_rolling,dist_home_rolling,fk_home_rolling,pk_home_rolling,goals_home_rolling,goals_away_rolling,pkatt_home_rolling,poss_away_rolling,sh_away_rolling,sot_away_rolling,dist_away_rolling,fk_away_rolling,pk_away_rolling,pkatt_away_rolling
40,2024-01-03,21,19,2,7,5,4.0,3.0,2.3,2.3,52.0,4-4-1-1,Alejandro Hernández,17.0,9.0,15.8,0.0,0,0,2024,0,48.0,3-1-4-2,18.0,12.0,12.0,0.0,0,0,2,1.9666666666666668,1.5333333333333332,55.0,11.333333333333334,4.333333333333333,15.966666666666669,0.0,0.6666666666666666,2.6666666666666665,1.6666666666666667,0.6666666666666666,53.666666666666664,9.0,3.3333333333333335,17.2,0.3333333333333333,0.3333333333333333,0.3333333333333333
41,2024-01-21,21,21,6,7,9,5.0,1.0,2.3,0.7,55.0,4-4-2,Pablo González,12.0,8.0,12.7,0.0,0,0,2024,0,45.0,5-3-2,9.0,3.0,19.8,0.0,0,0,2,1.4333333333333333,1.1333333333333335,53.0,11.0,4.333333333333333,18.066666666666666,0.3333333333333333,0.3333333333333333,1.6666666666666667,1.6666666666666667,0.3333333333333333,59.0,13.666666666666666,3.3333333333333335,17.866666666666664,0.3333333333333333,0.3333333333333333,0.3333333333333333
42,2024-02-03,21,23,5,7,4,0.0,0.0,0.7,0.6,49.0,4-2-3-1,Jesús Gil,11.0,3.0,18.2,3.0,0,0,2024,2,51.0,4-4-1-1,11.0,2.0,20.7,0.0,0,0,2,1.1666666666666665,0.7000000000000001,56.333333333333336,10.666666666666666,5.0,17.333333333333332,0.6666666666666666,0.0,2.0,0.6666666666666666,0.0,51.0,7.0,2.0,20.033333333333335,0.6666666666666666,0.0,0.0
43,2024-02-26,21,26,0,7,11,3.0,0.0,2.2,0.5,54.0,4-2-3-1,Ricardo de Burgos,14.0,8.0,12.2,1.0,0,0,2024,0,46.0,4-2-3-1,7.0,1.0,25.6,0.0,0,0,2,1.0333333333333334,1.5,55.0,9.333333333333334,2.6666666666666665,19.266666666666666,1.0,0.0,0.6666666666666666,1.0,0.0,53.333333333333336,13.333333333333334,3.6666666666666665,20.866666666666664,1.0,0.3333333333333333,0.3333333333333333
44,2024-03-09,21,28,5,7,8,2.0,0.0,1.9,0.2,60.0,3-4-3,Mateo Busquets,11.0,6.0,14.1,0.0,0,0,2024,0,40.0,3-5-1-1,7.0,1.0,20.1,0.0,0,0,2,1.7666666666666668,1.2333333333333334,61.0,13.666666666666666,5.666666666666667,14.133333333333333,0.6666666666666666,0.0,1.6666666666666667,1.3333333333333333,0.0,46.666666666666664,10.666666666666666,3.3333333333333335,14.9,0.3333333333333333,0.0,0.0
45,2024-03-31,16,30,6,7,15,3.0,2.0,2.6,0.5,57.0,3-4-3,Jesús Gil,8.0,4.0,14.6,0.0,1,1,2024,0,43.0,4-1-4-1,7.0,4.0,20.5,0.0,0,0,1,1.5666666666666667,0.8000000000000002,59.666666666666664,13.0,4.333333333333333,14.4,0.3333333333333333,0.0,0.6666666666666666,1.0,0.0,57.666666666666664,12.0,3.6666666666666665,16.966666666666665,0.3333333333333333,0.0,0.0
46,2023-08-14,21,1,0,5,14,3.0,1.0,2.4,0.9,46.0,3-5-2,Juan Pulido,14.0,6.0,14.4,0.0,0,0,2024,0,54.0,5-3-2,7.0,4.0,14.1,0.0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,2023-09-24,21,6,6,5,19,3.0,1.0,1.4,1.0,37.0,5-3-2,Alberola Rojas,10.0,4.0,14.6,0.0,0,0,2024,0,63.0,4-1-2-1-2◆,20.0,5.0,21.5,1.0,0,0,2,1.633333333333333,2.0666666666666664,52.333333333333336,13.333333333333334,5.666666666666667,16.900000000000002,0.3333333333333333,0.0,2.6666666666666665,1.6666666666666667,0.0,63.666666666666664,17.333333333333332,7.333333333333333,17.666666666666664,0.3333333333333333,0.0,0.3333333333333333
48,2023-10-01,21,8,6,5,13,3.0,2.0,2.7,0.8,69.0,3-5-2,Javier Villanueva,18.0,9.0,15.5,1.0,0,0,2024,0,31.0,5-3-2,8.0,4.0,21.8,0.0,0,0,2,1.1666666666666667,0.3666666666666667,48.333333333333336,8.666666666666666,3.3333333333333335,15.1,0.3333333333333333,0.0,1.6666666666666667,0.3333333333333333,0.0,41.333333333333336,6.333333333333333,2.3333333333333335,18.666666666666668,0.3333333333333333,0.0,0.0
49,2023-10-08,16,9,6,5,4,2.0,1.0,2.2,1.2,38.0,3-5-2,José Luis Munuera,13.0,4.0,15.0,0.0,1,1,2024,0,62.0,4-3-3,13.0,4.0,23.1,1.0,0,0,1,1.8666666666666665,1.2,50.333333333333336,11.0,5.333333333333333,14.333333333333334,0.3333333333333333,0.0,2.6666666666666665,2.6666666666666665,0.0,58.0,6.333333333333333,3.6666666666666665,18.566666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333
