,date,time,round,day,home_team,away_team,goals_home,goals_away,xg_home,xg_away,poss_home,formation_home,referee,sh_home,sot_home,dist_home,fk_home,pk_home,pkatt_home,season,target,poss_away,formation_away,sh_away,sot_away,dist_away,fk_away,pk_away,pkatt_away
98,2024-01-02,21:30,19,1,12,16,3.0,1.0,2.8,0.5,45.0,4-4-2,Jesús Gil,9.0,6.0,19.8,1.0,2,2,2024,0,55.0,4-3-3,8.0,4.0,15.8,0.0,0,0
99,2024-01-20,18:30,21,5,12,0,1.0,0.0,0.9,0.5,40.0,4-4-2,Juan Pulido,6.0,1.0,12.6,0.0,0,0,2024,0,60.0,4-2-3-1,6.0,3.0,15.6,0.0,0,0
100,2024-02-03,14:00,23,5,12,1,2.0,1.0,1.4,1.9,48.0,4-4-2,Alejandro Muñíz,6.0,2.0,19.1,0.0,0,1,2024,0,52.0,4-2-3-1,15.0,4.0,20.7,0.0,0,0
101,2024-02-17,21:00,25,5,12,9,0.0,0.0,1.0,0.0,55.0,4-4-2,César Soto,14.0,4.0,18.7,0.0,0,0,2024,2,45.0,3-5-2,1.0,1.0,9.8,0.0,0,0
102,2024-03-02,21:00,27,5,12,19,2.0,2.0,1.1,2.2,30.0,4-4-2,Jesús Gil,12.0,5.0,20.4,1.0,0,0,2024,2,70.0,4-3-1-2,10.0,5.0,15.6,1.0,0,0
103,2024-03-09,14:00,28,5,12,3,1.0,0.0,0.8,1.3,51.0,4-4-2,Juan Pulido,10.0,3.0,17.5,0.0,0,0,2024,0,49.0,4-4-2,15.0,5.0,17.6,0.0,0,0
104,2024-03-30,18:30,30,5,12,18,0.0,0.0,1.5,0.9,53.0,4-4-2,Miguel Ángel Ortiz Arias,14.0,4.0,16.6,1.0,0,0,2024,2,47.0,5-3-2,11.0,3.0,15.7,0.0,0,0
105,2023-08-20,21:30,2,6,15,5,0.0,0.0,0.7,0.5,53.0,4-2-3-1,Ricardo de Burgos,14.0,0.0,17.1,0.0,0,0,2024,2,47.0,5-3-2,5.0,1.0,13.7,0.0,0,0
106,2023-09-02,21:00,4,5,15,11,1.0,0.0,1.0,1.5,55.0,4-2-3-1,Alejandro Muñíz,14.0,5.0,16.3,1.0,0,0,2024,0,45.0,4-4-2,15.0,6.0,20.2,1.0,0,0
107,2023-09-24,18:30,6,6,15,13,1.0,1.0,1.8,0.2,63.0,4-2-3-1,Miguel Ángel Ortiz Arias,21.0,7.0,16.4,2.0,0,0,2024,2,37.0,4-4-2,5.0,1.0,16.2,0.0,0,0
108,2023-10-01,21:00,8,6,15,12,3.0,0.0,1.6,0.7,55.0,4-2-3-1,Ricardo de Burgos,15.0,7.0,13.4,0.0,0,0,2024,0,45.0,4-2-3-1,9.0,2.0,19.2,0.0,0,0
109,2023-10-29,14:00,11,6,15,8,2.0,1.0,1.2,0.4,51.0,4-2-3-1,José Sánchez,9.0,2.0,17.8,0.0,0,0,2024,0,49.0,4-2-3-1,7.0,1.0,20.7,0.0,0,0
110,2023-11-04,16:15,12,5,15,18,2.0,0.0,2.2,0.6,57.0,4-2-3-1,Miguel Ángel Ortiz Arias,22.0,3.0,18.8,1.0,0,0,2024,0,43.0,5-3-2,8.0,1.0,22.6,0.0,0,0
111,2023-11-26,21:00,14,6,15,6,1.0,0.0,1.4,0.6,39.0,4-2-3-1,Víctor García,12.0,6.0,17.1,0.0,0,0,2024,0,61.0,4-1-4-1,15.0,4.0,23.4,0.0,0,0
112,2023-12-09,16:15,16,5,15,19,1.0,1.0,1.3,1.0,37.0,4-2-3-1,César Soto,14.0,6.0,14.5,0.0,0,0,2024,2,63.0,4-2-3-1,12.0,2.0,18.8,1.0,0,0
113,2023-12-21,19:00,18,3,15,7,1.0,1.0,1.5,1.7,47.0,4-2-3-1,Ricardo de Burgos,21.0,4.0,18.8,0.0,0,0,2024,2,53.0,4-2-3-1,11.0,3.0,18.3,0.0,1,1
114,2024-01-13,21:00,20,5,15,14,1.0,0.0,1.8,0.5,57.0,4-2-3-1,Guillermo Cuadra,25.0,6.0,19.2,0.0,0,0,2024,0,43.0,4-4-2,6.0,2.0,17.2,0.0,0,0
115,2024-01-21,18:30,21,6,15,10,2.0,4.0,1.1,3.0,37.0,4-2-3-1,Jesús Gil,14.0,4.0,17.7,0.0,0,0,2024,1,63.0,4-3-3,11.0,4.0,15.1,0.0,0,0
116,2024-02-04,18:30,23,6,15,3,1.0,1.0,1.6,1.5,54.0,4-2-3-1,Juan Pulido,8.0,1.0,19.6,1.0,1,1,2024,2,46.0,4-4-2,10.0,1.0,17.0,0.0,1,1
117,2024-02-18,21:00,25,6,15,17,0.0,0.0,0.8,0.5,62.0,4-2-3-1,Mateo Busquets,13.0,1.0,18.3,0.0,0,0,2024,2,38.0,4-2-3-1,13.0,4.0,22.9,2.0,0,0
